open_price,high_price,low_price,noof_shares,close_price,predicted_close_price
5449.0,5499.9,5125.0,17309,5238.9,
4960.85,5010.0,4945.0,571,4976.8,
5946.0,6003.0,5917.3,7964,5968.7,
4700.0,4778.0,4700.0,3354,4752.85,
4607.2,4624.0,4548.25,1107,4560.85,
5620.0,5645.0,5571.1,1442,5592.15,
4702.3,4749.0,4700.0,1597,4713.95,
16564.8,16627.5,16391.5,2003,16538.1,
10465.0,10719.95,10420.7,2394,10677.0,
4775.0,4790.0,4720.0,2157,4728.9,
6887.1,6919.95,6776.0,1458,6851.0,
5790.0,5850.0,5469.0,2894,5827.95,
16865.0,17199.0,16801.0,3906,16933.5,
4738.0,4775.0,4734.4,1139,4765.55,
11383.0,11450.0,11308.2,1749,11407.1,
6055.0,6105.0,6005.0,4094,6025.85,
14201.05,14434.7,14166.15,4022,14297.2,
7297.85,7631.05,7122.0,8032,7140.8,
6003.6,6060.6,5910.0,3932,5937.0,
6263.95,6312.5,6260.0,374,6293.2,
10850.0,10971.0,10833.1,4675,10936.3,
5527.3,5605.0,5414.0,2334,5549.2,
14249.95,14415.95,14120.2,1655,14388.25,
4611.3,4615.0,4480.35,1312,4595.45,
7735.9,7735.9,7644.25,3215,7650.55,
4652.0,4683.9,4642.0,34511,4674.75,
12072.0,12142.65,11927.55,1518,11963.35,
4874.9,4880.0,4816.05,11577,4829.5,
4532.05,4564.3,4516.0,1361,4527.5,
6332.05,6332.05,6252.0,4503,6282.1,
5040.0,5066.6,5025.0,2390,5038.45,
6802.7,6802.7,6750.0,20851,6778.8,
19549.0,19549.0,19060.15,1369,19247.15,
9669.0,9998.0,9660.0,4292,9898.25,
4750.0,4799.05,4661.55,3166,4688.35,
15951.05,16254.2,15747.0,2620,16191.1,
7124.0,7134.3,7060.6,1707,7087.75,
4950.0,4960.0,4901.9,687,4927.6,
7282.0,7388.65,7239.1,1369,7365.35,
17697.95,17790.0,17320.5,2810,17411.95,
6034.0,6160.0,6029.9,2505,6127.65,
17538.8,17538.8,17150.05,4011,17265.85,
6147.0,6187.4,6118.0,1724,6130.7,
17247.45,17284.0,17064.35,2270,17155.4,
10660.0,10800.0,10595.2,4339,10718.95,
6035.0,6130.0,5950.0,11571,6074.55,
11317.0,11680.0,11317.0,1796,11467.55,
4380.05,4399.95,4359.0,27344,4389.15,
6735.0,6735.0,6666.0,3027,6722.45,
17633.65,17808.0,17520.0,3155,17645.85,
6474.95,6594.95,6474.95,16666,6582.35,
4800.2,4855.9,4790.0,2374,4804.7,
6809.0,6900.0,6747.3,2029,6787.15,
19080.0,19226.0,19001.0,1531,19055.55,
7616.85,7645.2,7597.45,510,7624.7,
16599.0,16747.7,16498.9,8275,16693.6,
4740.0,4775.05,4719.0,1430,4767.65,
17600.0,17634.6,17141.25,7901,17222.45,
6075.0,6338.0,6030.3,23673,6295.75,
11740.0,11994.8,11717.0,2699,11832.1,
16430.0,16617.7,16320.2,4345,16549.45,
17595.0,17749.95,17100.0,5159,17184.4,
6295.0,6499.9,6240.0,2863,6270.9,
5465.0,5560.0,5465.0,3261,5524.45,
4731.0,4772.0,4650.05,7693,4697.35,
10318.45,10318.45,10122.0,2871,10165.5,
4377.2,4390.0,4349.0,3001,4366.65,
4080.05,4100.0,4061.0,3167,4068.75,
7622.05,7789.9,7601.05,4310,7761.2,
16790.0,16790.0,16450.0,11982,16649.4,
7050.85,7090.0,6966.0,709,7001.6,
5062.15,5100.0,5035.2,1227,5049.4,
7799.0,7856.45,7650.0,2284,7770.1,
17399.0,17493.95,17255.5,1275,17392.85,
6005.9,6121.5,5991.1,2970,6078.55,
10234.5,10395.0,10230.0,3045,10321.4,
6099.0,6099.0,5985.05,1472,6019.4,
8397.3,8400.6,8366.05,995,8395.7,
6644.0,6650.0,6552.15,66271,6599.95,
7450.0,7730.0,7283.7,7177,7597.35,
5354.5,5356.8,5280.5,1299,5297.25,
5096.2,5099.7,5022.1,1062,5052.95,
4650.0,4650.0,4600.0,1713,4609.65,
12355.0,12714.85,12355.0,2879,12572.2,
4960.0,4969.95,4875.0,23510,4897.55,
6366.0,6514.4,6226.0,7420,6477.6,
17670.0,17850.0,17557.45,1304,17795.7,
4462.05,4482.95,4425.0,1720,4437.35,
5128.0,5199.0,5079.25,4451,5105.1,
17401.0,17519.95,17205.75,12790,17375.4,
4355.0,4389.9,4340.0,1971,4342.7,
7300.0,7300.0,7186.95,490,7235.0,
4425.05,4470.0,4420.0,2153,4432.75,
4751.85,4786.0,4695.85,1215,4740.65,
17835.0,18040.0,16949.95,15247,17657.6,
6347.0,6350.0,6280.0,598,6327.95,
4947.2,5015.0,4900.0,1096,4986.95,
9631.0,9636.9,9497.5,1291,9518.75,
4386.0,4478.95,4375.0,3625,4448.95,
6475.0,6499.0,6226.0,2885,6335.55,
5019.4,5025.0,4990.0,1659,5008.8,
11001.6,11145.0,10941.15,1702,11041.05,
7310.4,7328.25,7241.0,1150,7268.15,
4830.0,4839.0,4712.25,8485,4759.1,
4590.0,4650.0,4582.25,1522,4601.2,
17631.0,17725.0,17574.0,16969,17645.35,
18280.0,18280.0,17988.0,2551,18095.05,
10525.0,10745.75,10525.0,51322,10702.05,
4960.0,5131.0,4960.0,18240,5104.5,
5666.15,5674.9,5579.95,3234,5604.1,
4884.0,4978.6,4844.0,5001,4955.05,
10363.8,10484.0,10280.0,2428,10465.0,
19480.0,19480.0,19220.65,8066,19318.8,
17487.0,17873.1,17487.0,6800,17825.9,
7400.85,7415.0,7340.0,10693,7373.2,
10599.95,10599.95,10303.15,2542,10521.05,
7849.65,7892.9,7831.05,733,7855.95,
17769.0,17899.85,17660.0,2197,17714.5,
16100.0,16141.45,15824.95,1414,16039.6,
4410.0,4624.9,4410.0,1512,4589.45,
4355.5,4397.0,4339.0,71578,4352.5,
6942.65,6968.4,6750.0,2402,6786.1,
17735.0,18409.0,17666.45,2854,18287.8,
16575.2,16640.0,16411.25,1929,16582.65,
4549.25,4610.8,4510.3,2854,4589.45,
6349.8,6370.0,6264.1,25815,6305.65,
11107.35,11276.85,11086.8,4675,11252.2,
4140.0,4165.0,4086.0,11700,4142.8,
